№,Name:,Price:,picture:
1,"DIGMA
Ноутбук Magnus M Ryzen 5 5600U 16Gb SSD512Gb W11P",52 691 ₽,https://basket-11.wbbasket.ru/vol1628/part162896/162896740/images/c516x688/1.webp
2,"TopTrend
Ноутбук FRBBY V16 Pro",25 925 ₽,https://basket-12.wbbasket.ru/vol1886/part188649/188649197/images/c516x688/1.webp
3,"lenovo
Игровой ноутбук Legion Pro 5 16IRX8 [82WK003VRK]",139 025 ₽,https://basket-13.wbbasket.ru/vol1960/part196045/196045518/images/c516x688/1.webp
4,"lenovo
Ноутбук ThinkPad T480 i5-8250U 14""",32 663 ₽,https://basket-10.wbbasket.ru/vol1586/part158602/158602316/images/c516x688/1.webp
5,"Ноутбук 14"" IPS 4-Ядра 8GB SSD 256GB
Ноутбук 14"" 4-Ядра IPS 1920х1080 FHD RAM 8Gb SSD 256Gb",18 492 ₽,https://basket-13.wbbasket.ru/vol2023/part202373/202373744/images/c516x688/1.webp
6,"Infinix
Inbook Y1 NEO XL30",27 668 ₽,https://basket-12.wbbasket.ru/vol1776/part177640/177640375/images/c516x688/1.webp
7,"Asus
Ноутбук Vivobook Go 14 E1404FA-EB045 [90NB0ZS2-M00670]",38 573 ₽,https://basket-13.wbbasket.ru/vol1965/part196503/196503330/images/c516x688/1.webp
8,"MAIBENBEN
Ноутбук P415 i3-1115G4 3000x2000 8ГБ+512ГБ Сенсорный экран",33 999 ₽,https://basket-12.wbbasket.ru/vol1827/part182780/182780413/images/c516x688/1.webp
9,"CHUWI
Ноутбук Corebook X 14'',Intel i5-1235U, Win11 HOME",42 423 ₽,https://basket-10.wbbasket.ru/vol1510/part151049/151049767/images/c516x688/1.webp
10,"Smartx
Ноутбук 14.1"" W10pro SSD512GB Intel Celeron J4105 6 GB",21 705 ₽,
11,"Acer
Игровой ноутбук Nitro 5 AN515-58-56W4 [NH.QFJER.002]",78 465 ₽,
12,"Compolis
Ноутбук 15.6"" IPS 4-Ядра 16GB SSD 512GB",31 900 ₽,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
